,date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
0,2020-09-09,115.39264678955078,111.6255874633789,110.1600570678711,113.46485137939453,113.64190673828125,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906
1,2020-09-10,111.6255874633789,110.1600570678711,113.46485137939453,113.64190673828125,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688
2,2020-09-11,110.1600570678711,113.46485137939453,113.64190673828125,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625
3,2020-09-14,113.46485137939453,113.64190673828125,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656
4,2020-09-15,113.64190673828125,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781
5,2020-09-16,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938
6,2020-09-17,108.5273208618164,105.08482360839844,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469
7,2020-09-18,105.08482360839844,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312
8,2020-09-21,108.27159881591797,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734
9,2020-09-22,109.97319030761719,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375
10,2020-09-23,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844
11,2020-09-24,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672
12,2020-09-25,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688
13,2020-09-28,113.07142639160156,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312
14,2020-09-29,112.2157211303711,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711
15,2020-09-30,113.90746307373047,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711,109.37318420410156
16,2020-10-01,114.8713607788086,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711,109.37318420410156,113.42552185058594
17,2020-10-02,111.16328430175781,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711,109.37318420410156,113.42552185058594,107.07162475585938
18,2020-10-05,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711,109.37318420410156,113.42552185058594,107.07162475585938,106.98311614990234
19,2020-10-06,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711,109.37318420410156,113.42552185058594,107.07162475585938,106.98311614990234,108.62566375732422
20,2020-10-07,113.18946838378906,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711,109.37318420410156,113.42552185058594,107.07162475585938,106.98311614990234,108.62566375732422,113.06159210205078
21,2020-10-08,113.08126831054688,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711,109.37318420410156,113.42552185058594,107.07162475585938,106.98311614990234,108.62566375732422,113.06159210205078,117.0745620727539
22,2020-10-09,115.04840087890625,122.35633850097656,119.11054992675781,119.19906616210938,118.72697448730469,117.06472778320312,114.07466888427734,115.57952880859375,114.95005798339844,113.84844207763672,113.15011596679688,113.15994262695312,114.6844711303711,109.37318420410156,113.42552185058594,107.07162475585938,106.98311614990234,108.62566375732422,113.06159210205078,117.0745620727539,116.94155883789062
