date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
2020-09-09,115.39264678955078,111.6255874633789,110.1600570678711,113.46485137939452,113.64190673828124,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906
2020-09-10,111.6255874633789,110.1600570678711,113.46485137939452,113.64190673828124,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688
2020-09-11,110.1600570678711,113.46485137939452,113.64190673828124,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890624
2020-09-14,113.46485137939452,113.64190673828124,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890624,122.35633850097656
2020-09-15,113.64190673828124,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890624,122.35633850097656,119.1105499267578
2020-09-16,110.28791046142578,108.5273208618164,105.08482360839844,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890624,122.35633850097656,119.1105499267578,119.19906616210938
2020-09-17,108.5273208618164,105.08482360839844,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890624,122.35633850097656,119.1105499267578,119.19906616210938,118.72697448730467
2020-09-18,105.08482360839844,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890624,122.35633850097656,119.1105499267578,119.19906616210938,118.72697448730467,117.06472778320312
2020-09-21,108.27159881591795,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890624,122.35633850097656,119.1105499267578,119.19906616210938,118.72697448730467,117.06472778320312,114.07466888427734
2020-09-22,109.9731903076172,105.3602294921875,106.44215393066406,110.43545532226562,113.07142639160156,112.2157211303711,113.90746307373048,114.8713607788086,111.1632843017578,114.58612823486328,111.3010025024414,113.18946838378906,113.08126831054688,115.04840087890624,122.35633850097656,119.1105499267578,119.19906616210938,118.72697448730467,117.06472778320312,114.07466888427734,115.57952880859376
